,SNo,Country/Region,Confirmed,Deaths,Recovered
0,1,China,1,0,0
1,2,China,14,0,0
2,3,China,6,0,0
3,4,China,1,0,0
4,5,China,0,0,0
5,6,China,26,0,0
6,7,China,2,0,0
7,8,China,1,0,0
8,9,China,4,0,0
9,10,China,1,0,0
10,11,China,0,0,0
11,12,China,5,0,0
12,13,Hong Kong,0,0,0
13,14,China,444,17,28
14,15,China,4,0,0
15,16,China,0,0,0
16,17,China,1,0,0
17,18,China,2,0,0
18,19,China,0,0,0
19,20,China,2,0,0
20,21,Macau,1,0,0
21,22,China,1,0,0
22,23,China,0,0,0
23,24,China,0,0,0
24,25,China,2,0,0
25,26,China,9,0,0
26,27,China,1,0,0
27,28,China,5,0,0
28,29,Taiwan,1,0,0
29,30,China,4,0,0
30,31,China,0,0,0
31,32,United States of America,1,0,0
32,33,China,0,0,0
33,34,China,1,0,0
34,35,China,10,0,0
35,36,Japan,2,0,0
36,37,Thailand,2,0,0
37,38,South Korea,1,0,0
38,39,China,9,0,0
39,40,China,22,0,0
40,41,China,9,0,0
41,42,China,5,0,0
42,43,China,2,0,0
43,44,China,32,0,2
44,45,China,5,0,0
45,46,China,3,0,0
46,47,China,5,0,0
47,48,China,1,1,0
48,49,China,2,0,0
49,50,China,5,0,0
50,51,Hong Kong,2,0,0
51,52,China,444,17,28
52,53,China,9,0,0
53,54,China,0,0,0
54,55,China,5,0,0
55,56,China,7,0,0
56,57,China,1,0,0
57,58,China,3,0,0
58,59,Macau,2,0,0
59,60,China,1,0,0
60,61,China,0,0,0
61,62,China,3,0,0
62,63,China,6,0,0
63,64,China,16,0,0
64,65,China,1,0,0
65,66,China,8,0,0
66,67,Taiwan,1,0,0
67,68,China,4,0,0
68,69,China,0,0,0
69,70,United States of America,1,0,0
70,71,China,2,0,0
71,72,China,2,0,0
72,73,China,27,0,0
73,74,Japan,1,0,0
74,75,Thailand,3,0,0
75,76,South Korea,1,0,0
76,77,Singapore,1,0,0
77,78,Philippines,0,0,0
78,79,Malaysia,0,0,0
79,80,Vietnam,2,0,0
80,81,Australia,0,0,0
81,82,Mexico,0,0,0
82,83,Brazil,0,0,0
83,84,Colombia,0,0,0
84,85,China,549,24,31
85,86,China,53,0,2
86,87,China,43,0,1
87,88,China,36,0,1
88,89,China,27,0,0
89,90,China,24,0,0
90,91,China,23,0,0
91,92,China,20,0,1
92,93,China,18,0,0
93,94,China,15,0,0
94,95,China,15,0,0
95,96,China,15,0,0
96,97,China,10,0,0
97,98,China,9,0,0
98,99,China,9,0,0
99,100,China,8,0,0
100,101,China,8,0,0
101,102,China,5,0,0
102,103,China,5,0,0
103,104,China,4,1,0
104,105,China,4,0,0
105,106,China,3,0,0
106,107,China,3,0,0
107,108,Taiwan,3,0,0
108,109,China,2,0,0
109,110,Hong Kong,2,0,0
110,111,Macau,2,0,0
111,112,China,2,1,0
112,113,China,2,0,0
113,114,China,2,0,0
114,115,China,1,0,0
115,116,China,1,0,0
116,117,China,0,0,0
117,118,United States of America,1,0,0
118,119,United States of America,1,0,0
119,120,Japan,2,0,0
120,121,Thailand,5,0,0
121,122,South Korea,2,0,0
122,123,Singapore,3,0,0
123,124,Vietnam,2,0,0
124,125,France,2,0,0
125,126,China,761,40,32
126,127,China,78,0,2
127,128,China,62,0,1
128,129,China,57,0,0
129,130,China,43,0,0
130,131,China,41,0,2
131,132,China,39,0,0
132,133,China,33,0,1
133,134,China,32,0,0
134,135,China,28,0,0
135,136,China,27,0,0
136,137,China,23,0,0
137,138,China,19,0,0
138,139,China,18,0,0
139,140,China,18,0,0
140,141,China,18,0,1
141,142,China,17,0,0
142,143,China,15,0,0
143,144,China,11,0,0
144,145,China,10,0,0
